,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
0,123,CLATSKANIE R,8,-,4,-,-,-,-,-,-,-,-,-
1,124,CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
2,125,COLLOWASH RIVER,-,-,-,-,-,-,-,-,7,-,-,-
3,126,HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,19,6,-,-,33
4,129,CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
5,130,DEEP CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
6,131,DESCHUTES R BELOW SHERARS FALLS,"5,549","4,768","9,133","5,145","5,716","4,290","3,659","6,835","4,435","2,749","1,410","1,616"
7,132,EAGLE CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
8,133,EAGLE CR (COLUMBIA R),69,12,195,93,7,18,19,32,20,21,-,-
9,134,FALL CR (WILLAMETTE R),12,4,4,19,15,5,-,5,-,-,-,-
10,135,FIFTEEN MILE CR,-,-,-,-,-,-,-,-,-,-,-,-
11,137,GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
12,138,GNAT CR,8,12,2,7,4,13,5,5,38,-,7,-
13,139,MOSBY CR. (WILL R CST FK),-,-,-,-,-,-,-,-,-,-,-,-
14,140,HERMAN CR (COL R),310,136,806,301,62,106,61,64,260,-,20,44
15,141,LOST CR (WILL R MID FK),-,-,-,-,-,-,-,-,6,-,17,-
16,142,E FK HOOD,12,-,4,-,-,-,-,-,-,-,-,-
17,143,W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
18,144,IMNAHA R,"1,125",553,"2,141","1,149",452,113,399,794,630,90,92,22
19,145,JOHN DAY R,-,-,-,15,-,-,-,11,-,-,-,-
20,146,MID FK JOHN DAY,4,-,8,22,15,24,9,23,7,-,11,-
21,147,N FK JOHN DAY,4,4,15,7,46,4,5,-,7,-,11,-
22,148,JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
23,150,KNAPPA/BLIND SLOUGHS,-,-,-,4,-,4,-,5,-,14,-,-
24,151,KLASKANINE R,4,-,4,-,-,4,38,5,19,-,7,-
25,152,N FK KLASKANINE,-,-,4,6,-,-,-,5,6,-,-,-
26,153,S FK KLASKANINE,4,4,16,33,-,-,-,-,-,-,-,-
27,154,LEWIS & CLARK R,45,8,4,-,-,9,5,21,13,-,-,-
28,155,MCKENZIE R (BELOW LEABURG DAM),"1,919","1,869","1,623","2,241","3,053","2,959","1,553","2,474",613,"2,102",157,741
29,156,LUCKIAMUTE & LITTLE LUCKIAMUTE R,-,-,-,-,-,-,-,-,-,-,-,-
30,157,MARYS R,-,-,-,-,-,-,-,-,-,-,-,-
31,158,MCKENZIE R (ABOVE LEABURG DAM),65,17,16,41,11,53,47,59,-,84,-,166
32,159,MILL CR (MARION CO),-,-,4,4,-,-,-,-,-,-,-,-
33,161,MILL CR (YAMHILL CO),-,-,-,-,-,-,-,-,-,-,-,-
34,162,MILTON CR (COL CO),-,-,-,-,-,-,-,-,-,-,-,-
35,164,MOLALLA R,6,-,38,14,13,10,8,26,19,15,-,20
36,165,RICKREALL CR,-,-,-,-,-,-,-,-,-,-,-,-
37,166,PUDDING R,8,8,4,-,-,-,5,-,13,-,-,11
38,167,SALMON R (SANDY R),1,12,13,19,4,4,-,-,7,21,-,-
39,168,SANDY R FROM MOUTH TO REVENUEBRIDGE,730,948,591,700,332,824,261,805,616,"1,667",258,426
