,Waterbody '07-08 '08-09 '09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17 '17-18 '18-19,,,,,
,WOAHINK LK,-,-,-,-,-,-,-,-,-,-,-,-
,YACHATS R,-,-,-,-,-,-,-,-,-,-,-,-
,YAQUINA R & BAY,-,-,-,-,-,-,-,-,-,-,-,-
,TIOGA CR,-,-,-,-,-,-,-,-,-,-,-,-
,N FK UMPQUA-WINCHESTER DAM TO,,,,,,,,,,,,
,747,575,271,490,423,428,842,699,688,440,204,,
,NEHALEM R ABOVE HWY 26/ELSIE,-,-,-,-,-,-,-,-,-,-,14,-
,CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
,LITTLE R (N UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
,N FK UMPQUA FROM ROCK CR TO SODA,,,,,,,,,,,,
,37,32,19,29,49,75,107,51,146,27,22,,
,NESKOWIN CR,-,-,-,-,-,-,-,-,-,-,34,11
,ROGUE BAY UP TO ELEPHANT ROCK,53,42,73,34,31,35,79,85,80,97,129,73
,ROGUE R FROM ELEPHANT ROCK TO,,,,,,,,,,,,
,278,437,610,502,522,489,652,648,637,341,210,,
,ROGUE R FROM GRAVE CR TO GOLD RAY,,,,,,,,,,,,
,343,986,554,758,911,669,996,633,750,767,689,,
,ISTHMUS SLOUGH,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,Columbia River and Tributaries,,,,,,,,,,,,
,ABERNATHY CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
,ABIQUA CR (PUDDING R),12,4,-,-,-,-,-,-,-,-,-,-
,BEAR CR (CLATSOP CO),4,-,-,-,-,-,-,-,-,-,-,-
,BEAVER CR (COL CO),24,-,-,-,11,-,-,-,-,21,7,-
,BIG CR (CLATSOP CO),24,25,16,7,27,15,-,5,-,14,37,11
,BULLRUN R,-,-,8,-,-,9,-,-,-,-,-,-
,BUTTE CR (PUDDING R),12,-,-,-,-,-,-,-,6,-,-,-
,CALAPOOIA R,-,-,-,-,-,-,-,-,-,-,-,-
,CATHERINE CR,-,-,-,-,-,-,-,-,6,7,-,-
,CLACKAMAS R BELOW CARVER BRIDGE,2013,1895,2027,1498,316,559,352,582,259,483,147,176
,CLATSKANIE R,8,-,4,-,-,-,-,-,-,-,-,-
,CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
,COLLOWASH RIVER,-,-,-,-,-,-,-,-,7,-,-,-
,HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,19,6,-,-,33
,CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
,DEEP CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
,DESCHUTES R BELOW SHERARS FALLS,5549,4768,9133,5145,5716,4290,3659,6835,4435,2749,1410,1616
,EAGLE CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
,EAGLE CR (COLUMBIA R),69,12,195,93,7,18,19,32,20,21,-,-
,FALL CR (WILLAMETTE R),12,4,4,19,15,5,-,5,-,-,-,-
,FIFTEEN MILE CR,-,-,-,-,-,-,-,-,-,-,-,-
,GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
,GNAT CR,8,12,2,7,4,13,5,5,38,-,7,-
,MOSBY CR. (WILL R CST FK),-,-,-,-,-,-,-,-,-,-,-,-
,HERMAN CR (COL R),310,136,806,301,62,106,61,64,260,-,20,44
,LOST CR (WILL R MID FK),-,-,-,-,-,-,-,-,6,-,17,-
,E FK HOOD,12,-,4,-,-,-,-,-,-,-,-,-
,W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
,IMNAHA R,1125,553,2141,1149,452,113,399,794,630,90,92,22
,JOHN DAY R,-,-,-,15,-,-,-,11,-,-,-,-
,MID FK JOHN DAY,4,-,8,22,15,24,9,23,7,-,11,-
,N FK JOHN DAY,4,4,15,7,46,4,5,-,7,-,11,-
,JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
,KNAPPA/BLIND SLOUGHS,-,-,-,4,-,4,-,5,-,14,-,-
,KLASKANINE R,4,-,4,-,-,4,38,5,19,-,7,-
,N FK KLASKANINE,-,-,4,6,-,-,-,5,6,-,-,-
,S FK KLASKANINE,4,4,16,33,-,-,-,-,-,-,-,-
,LEWIS & CLARK R,45,8,4,-,-,9,5,21,13,-,-,-
,MCKENZIE R (BELOW LEABURG DAM),1919,1869,1623,2241,3053,2959,1553,2474,613,2102,157,741
,LUCKIAMUTE & LITTLE LUCKIAMUTE R,-,-,-,-,-,-,-,-,-,-,-,-
,MARYS R,-,-,-,-,-,-,-,-,-,-,-,-
,MCKENZIE R (ABOVE LEABURG DAM),65,17,16,41,11,53,47,59,-,84,-,166
,MILL CR (MARION CO),-,-,4,4,-,-,-,-,-,-,-,-
,MILL CR (YAMHILL CO),-,-,-,-,-,-,-,-,-,-,-,-
,MILTON CR (COL CO),-,-,-,-,-,-,-,-,-,-,-,-
,MOLALLA R,6,-,38,14,13,10,8,26,19,15,-,20
,RICKREALL CR,-,-,-,-,-,-,-,-,-,-,-,-
,PUDDING R,8,8,4,-,-,-,5,-,13,-,-,11
,SALMON R (SANDY R),1,12,13,19,4,4,-,-,7,21,-,-
,SANDY R FROM MOUTH TO REVENUE,730,948,591,700,332,824,261,805,616,1667,258,426
169,SANTIAM R,120,218,168,226,164,441,103,117,34,197,8,22
170,N FK SANTIAM,1225,646,598,854,1175,2905,413,1371,292,1468,24,196
171,LITTLE N FK SANTIAM,-,8,4,11,25,85,34,21,6,-,-,-
172,S FK SANTIAM,2231,1776,3720,4143,2875,5172,1921,2818,98,2113,102,776
173,SCAPPOOSE CR,-,-,-,-,-,-,-,-,-,-,-,-
174,N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
175,S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
176,SNAKE R,1064,919,3798,2128,1925,1273,798,856,505,123,518,199
177,SUCKER CR,-,-,-,-,-,-,-,-,-,-,-,-
178,TANNER CR,17,4,16,-,1,13,10,123,178,7,7,11
179,THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,-,-,-
180,TUALATIN R,-,-,-,-,-,-,-,-,-,-,-,-
181,UMATILLA R,-,-,-,-,11,14,5,17,7,42,-,-
182,WALLA WALLA R,-,-,4,-,9,-,-,-,13,-,-,-
183,SPRINGFIELD MILL RACE,-,-,-,-,-,-,-,13,13,-,-,-
184,WENAHA R,24,8,20,7,-,-,5,59,13,-,-,-
185,WILLAMETTE R & SLOUGH BELOW OR,581,1337,869,1253,1038,1545,685,810,179,852,395,700
186,WILLAMETTE R ABOVE OR CITY FALLS,343,885,691,1371,1106,1378,769,1198,144,1230,100,712
187,ALTON BAKER CANOE CANAL,-,-,20,41,15,9,9,48,-,7,-,-
188,MID FK WILL,1799,1990,3451,3855,4671,3107,2102,3545,742,5399,335,1311
189,WILLAMINA CR,-,-,-,-,-,-,-,-,-,-,-,-
190,YAMHILL R,-,-,-,-,-,-,-,-,-,-,-,-
191,N FK YAMHILL,-,-,-,-,-,-,-,-,-,-,-,-
192,S FK YAMHILL,-,-,-,-,-,-,-,-,-,-,-,-
193,YOUNGS R & BAY,4,-,-,11,-,2,-,-,-,7,-,-
195,SILVER CR,4,8,-,4,-,-,-,6,-,-,-,-
200,UPPER ROGUE RIVER,-,-,-,-,-,-,-,-,-,-,-,-
202,CLACKAMAS R SYSTEM ABOVE NO FK,,,,,,,,,,,,
33,13,12,-,-,-,-,-,6,-,-,-,,
