,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,72.0,ROCK CR (LANE CO),-,-,-,7,-,4,-,5,6,13,-,-
73,,,,,,,,,,,,,,,73.0,ROCK CR (NEHALEM),-,-,-,-,-,-,-,5,-,-,-,-
74,,,,,,,,,,,,,,,74.0,ROCK CR (SILETZ R),-,-,-,-,10,-,-,-,-,-,13,-
75,,,,,,,,,,,,,,,75.0,SOAPSTONE CR,-,-,-,-,-,-,-,-,-,6,6,-
76,,,,,,,,,,,,,,,76.0,LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,-,-,6,-,-
77,,,,,,,,,,,,,,,77.0,SALMON R (COAST),704,747,940,"1,655","2,899","2,617","4,822","2,974","5,525","1,585","1,332",752
78,,,,,,,,,,,,,,,78.0,SALMONBERRY R,-,-,-,-,-,4,-,-,6,-,2,-
79,,,,,,,,,,,,,,,79.0,SAND LAKE,7,4,4,-,-,-,9,5,12,-,13,-
80,,,,,,,,,,,,,,,80.0,SCHOONER CR (SILETZ R),-,-,-,-,17,8,9,20,53,19,6,-
81,,,,,,,,,,,,,,,81.0,SILETZ R & BAY,947,346,433,774,"2,703","1,912","3,255","4,072","7,513","4,074","5,393","1,937"
82,,,,,,,,,,,,,,,82.0,N FK SILETZ,-,-,-,-,-,-,-,6,24,13,-,-
83,,,,,,,,,,,,,,,83.0,S FK SILETZ,-,-,-,-,-,-,-,-,5,4,5,-
84,,,,,,,,,,,,,,,84.0,SILTCOOS R & LK,35,16,8,-,-,-,-,-,-,-,-,-
85,,,,,,,,,,,,,,,85.0,SIUSLAW R & BAY,"2,480",962,"1,385","3,300","5,653","3,997","8,486","5,540","9,654","5,001","3,986","2,360"
86,,,,,,,,,,,,,,,86.0,N FK SIUSLAW,108,51,42,138,162,44,127,109,176,71,57,39
87,,,,,,,,,,,,,,,87.0,SIXES R,417,438,637,"1,072",600,530,"1,230","1,723",989,818,521,347
89,,,,,,,,,,,,,,,89.0,SMITH R,62,31,127,361,345,234,750,286,290,350,202,143
90,,,,,,,,,,,,,,,90.0,N FK SMITH,8,-,12,28,52,21,31,65,53,39,25,-
91,,,,,,,,,,,,,,,91.0,SUTTON CR & LK,-,-,-,-,-,-,-,-,-,-,-,-
92,,,,,,,,,,,,,,,92.0,SWEET CR (SIUSLAW R),8,12,4,21,7,-,4,30,-,6,-,-
94,,,,,,,,,,,,,,,94.0,TENMILE CR & LK (COOS CO),4,-,-,-,-,-,-,-,-,-,-,-
95,,,,,,,,,,,,,,,95.0,TENMILE CR (LANE CO),8,-,-,7,146,92,266,311,302,84,95,72
96,,,,,,,,,,,,,,,96.0,THREE R,55,28,36,131,68,146,360,299,305,284,218,64
97,,,,,,,,,,,,,,,97.0,TILLAMOOK BAY,"4,236","2,042","1,793","2,499","4,180","3,663","7,439","5,828","9,719","4,075","4,323","2,315"
98,,,,,,,,,,,,,,,98.0,TILLAMOOK R,222,162,159,216,300,175,333,195,486,52,151,82
99,,,,,,,,,,,,,,,99.0,TRASK R,"1,356",682,761,898,"2,479","1,753","3,175","2,971","3,179","1,895","1,474",337
100,,,,,,,,,,,,,,,100.0,N FK TRASK,15,8,-,4,24,17,53,20,47,13,-,-
101,,,,,,,,,,,,,,,101.0,S FK TRASK,15,8,4,7,31,4,40,35,42,13,19,-
102,,,,,,,,,,,,,,,102.0,UMPQUA R & BAY,"1,384","1,138","2,033","6,034","7,300","6,610","9,061","7,226","12,484","4,917","3,442","2,288"
103,,,,,,,,,,,,,,,103.0,N FK UMPQUA BELOWWINCHESTER DAM,8,2,14,5,15,11,20,31,12,6,9,1
104,,,,,,,,,,,,,,,104.0,S FK UMPQUA,8,4,27,7,45,17,31,10,65,6,3,10
105,,,,,,,,,,,,,,,105.0,WILSON R,"2,078",890,847,"1,287","1,365","1,706","2,967","4,048","2,794","2,025","1,152",215
106,,,,,,,,,,,,,,,106.0,S FK. WILSON R.,12,12,15,32,31,13,4,5,6,6,6,-
107,,,,,,,,,,,,,,,107.0,LITTLE N FK (WILSON),11,-,4,7,87,75,209,85,95,-,6,10
108,,,,,,,,,,,,,,,108.0,WINCHUCK R,12,55,-,152,150,100,200,40,142,123,189,20
110,,,,,,,,,,,,,,,110.0,YACHATS R,112,113,96,141,192,133,124,276,142,110,107,-
111,,,,,,,,,,,,,,,111.0,YAQUINA R & BAY,927,528,418,969,"1,259",984,"2,669","1,944","3,837","2,200","1,262",736
194,,,,,,,,,,,,,,,194.0,TIOGA CR,-,-,-,-,-,-,-,-,-,6,-,-
201,,,,,,,,,,,,,,,201.0,N FK UMPQUA-WINCHESTER DAMTO ROCK CR,7,8,4,8,13,8,21,4,6,13,8,-
204,,,,,,,,,,,,,,,204.0,NEHALEM R ABOVE HWY 26/ELSIE,35,53,31,78,28,17,40,25,12,6,-,-
206,,,,,,,,,,,,,,,206.0,CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
219,,,,,,,,,,,,,,,219.0,N FK UMPQUA FROM ROCK CR TOSODA SPR (FLY AREA),-,-,-,3,14,1,12,2,7,8,8,3
224,,,,,,,,,,,,,,,224.0,NESKOWIN CR,4,-,-,25,33,75,80,143,125,19,25,36
225,,,,,,,,,,,,,,,225.0,ROGUE BAY UP TO ELEPHANTROCK,"1,803","1,446","5,747","1,410","1,899","1,809","1,159","2,415","5,748","5,084","12,186","12,645"
226,,,,,,,,,,,,,,,226.0,ROGUE R FROM ELEPHANT ROCKTO GRAVE CR,427,323,758,840,"1,271",987,551,936,813,820,"1,200","1,430"
227,,,,,,,,,,,,,,,227.0,ROGUE R FROM GRAVE CR TOGOLD RAY DAM,479,752,"1,186","1,174","1,766","2,102","1,548","1,212","1,365",592,"1,347",699
