Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
YAQUINA R & BAY,927,528,418,969,1259,984,2669,1944,3837,2200,1262,736
TIOGA CR,-,-,-,-,-,-,-,-,-,6,-,-
NEHALEM R ABOVE HWY 26/ELSIE,35,53,31,78,28,17,40,25,12,6,-,-
CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
N FK UMPQUA FROM ROCK CR TO,-,-,-,3,14,1,12,2,7,8,8,3
NESKOWIN CR,4,-,-,25,33,75,80,143,125,19,25,36
ROGUE BAY UP TO ELEPHANT,1803,1446,5747,1410,1899,1809,1159,2415,5748,5084,12186,12645
ROGUE R FROM ELEPHANT ROCK,427,323,758,840,1271,987,551,936,813,820,1200,1430
ROGUE R FROM GRAVE CR TO,479,752,1186,1174,1766,2102,1548,1212,1365,592,1347,699
ROGUE R ABOVE GOLD RAY DAM,14,3,9,76,104,100,103,129,218,138,147,148
ISTHMUS SLOUGH,116,211,142,346,464,342,402,105,255,195,246,41
ABERNATHY CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
ABIQUA CR (PUDDING R),-,-,-,-,-,-,-,-,-,-,-,-
BEAR CR (CLATSOP CO),-,8,-,7,-,4,9,10,53,-,-,-
BEAVER CR (COL CO),4,4,4,-,-,-,22,15,30,-,-,-
BIG CR (CLATSOP CO),73,892,1102,608,314,505,453,621,373,286,486,705
BULLRUN R,31,4,-,-,-,-,-,10,-,6,-,-
BUTTE CR (PUDDING R),-,-,-,-,-,-,-,-,-,-,-,-
CALAPOOIA R,-,-,-,-,-,-,-,-,-,-,-,-
CATHERINE CR,-,-,-,-,-,-,-,-,-,-,-,-
CLACKAMAS R BELOW CARVER,158,129,127,202,80,33,27,45,47,13,139,10
CLATSKANIE R,12,12,12,21,3,25,18,10,18,6,13,10
CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
COLLOWASH RIVER,-,-,-,-,-,-,-,-,-,-,-,-
HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,-,18,-,-,-
