,021,ALSEA R & BAY,2811,3736,2023,2251,2501,2853,4309,4106,5031,8344,5081,4602,060,MIAMI R,41,50,68,12,27,14,24,81,51,108,94,61,103,DAM,9,9.1,5,11,9.2,20,15,10,89,34,29,133,EAGLE CR (COLUMBIA R),55,86,95,30,13,45,18,33,25,25.1,184,WENAHA R,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,2,232,BRIDGE TO ISLAND CITY BRIDGE,0.11
42.0,42.0,DEADWOOD CR (SIUSLAW R),0.0,8.0,5.0,9.0,9.0,34.0,0.0,9.0,18.0,18.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,43.0,DRIFT CR (ALSEA R),73.0,238.0,24.0,23.0,123.0,111.0,153.0,146.0,112.0,162.0,72.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,44.0,DRIFT CR (SILETZ R),354.0,274.0,299.0,90.0,94.0,148.0,299.0,240.0,300.0,467.0,281.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,45.0,EEL LAKE,8.0,6.0,0.0,3.0,0.0,0.0,15.0,6.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,46.0,ELK CR (CLATSOP CO),10.0,6.0,5.0,29.0,12.0,0.0,9.0,3.0,18.0,3.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,47.0,ELK R,1365.0,393.0,1325.0,1364.0,1538.0,1614.0,2568.0,1907.0,2091.0,1138.0,966.0,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,48.0,EUCHRE CR,0.0,11.0,3.0,3.0,6.0,3.0,0.0,6.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,49.0,FALL CR (ALSEA R),0.0,0.0,0.0,0.0,0.0,3.0,6.0,14.0,3.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,50.0,FIVE R (ALSEA R),21.0,40.0,40.0,3.0,3.0,6.0,63.0,12.0,12.0,22.0,29.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,51.0,FLORAS CR & LK,119.0,64.0,57.0,29.0,82.0,46.0,45.0,15.0,56.0,51.0,47.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,52.0,COW CREEK,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,53.0,FOURMILE CR (COOS CO),3.0,0.0,6.0,3.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,54.0,HUNTER CR,3.0,3.0,0.0,6.0,18.0,13.0,18.0,3.0,15.0,3.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,55.0,ILLINOIS R,21.0,10.0,0.0,0.0,0.0,3.0,9.0,9.0,9.0,12.0,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,56.0,INDIAN CR (SIUSLAW R),9.0,29.0,40.0,12.0,3.0,13.0,18.0,15.0,0.0,13.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,57.0,KILCHIS R,265.0,318.0,350.0,226.0,294.0,118.0,479.0,396.0,460.0,515.0,684.0,1139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,58.0,LAKE CR (SIUSLAW R),800.0,824.0,1057.0,633.0,225.0,685.0,406.0,606.0,468.0,778.0,420.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,59.0,LOBSTER CR (ALSEA R),3.0,6.0,16.0,0.0,3.0,0.0,12.0,6.0,6.0,6.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
