Sandy River Below Marmot Dam (b),116,597,1260,1739,854,1259,1124,875,572,932,972,587,1897,1739,1537,1968,1176
Santiam River,103,81,194,98,235,114,66,121,101,243,263,291,225,286,466,334,129
Snake River,--,--,--,--,--,--,--,--,--,--,--,67,0,18,17,0,0
North Santiam River,381,153,440,847,1180,446,558,1028,565,1804,1872,1767,1700,1610,1728,1835,611
South Santiam River,393,153,219,145,105,164,409,486,959,1465,1794,1412,2420,1726,2166,2057,1450
"Willamette River, Lower",19279,12671,8815,12969,22161,20692,24696,15225,13952,23227,30429,29015,29671,39289,14733,23306,13175
"Willamette River, Upper",671,237,484,428,508,370,532,224,289,524,952,1012,1253,1036,639,627,287
Coast Fork Willamette River,737,627,9,X,X,X,X,X,X,X,X,X,X,X,0,0,0
Mid. Fk. Willamette River,929,219,209,209,983,531,940,184,379,1033,2190,2962,3078,1236,937,1272,1071
Youngs R. and Bay,,,,,,,,,,0,0,0,0,0,0,0,0
