Stream,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,
Hood R. Mouth to Powerdale Dam (b),,,,,,,--,,--,--,--,--,--,--,--,--,85
Hood R. above Powerdale Dam (b),,,,,,,--,,--,--,--,--,--,--,--,--,57
E. Fk. Hood River 9,22,82,62,63,62,219,108,,159,104,171,81,65,12,15,36,26
W.Fk. Hood River 177,62,265,124,126,164,269,316,,413,253,234,173,285,91,135,70,77
Imnaha River X,X,X,X,X,X,X,X,,X,57,60,321,212,592,750,153,276
John Day River 292,380,1391,2512,836,1734,1598,2088,,4484,8627,4487,4763,2023,3355,893,831,913
John Day R. below Cottonwood Bridge,,,,,,,--,,--,--,--,--,--,--,--,--,--
John Day R. above Cottonwood Bridge,,,,,,,--,,--,--,--,--,--,--,--,--,--
John Day Arm (d) --,--,--,--,--,--,--,--,,--,--,--,0,390,705,1199,0,77
"Mid. Fk, John Day River 0",59,35,120,54,20,44,84,,250,327,53,41,25,138,4,42,16
N. Fk. John Day River 13,230,295,350,100,220,369,319,,738,703,52,46,38,433,0,63,41
"Mckenzie River, Lower",2958,1406,813,2145,985,263,1212,992,3543,990,3299,532,1491,715,2058,3026,1038
"McKenzie River, Upper",--,--,--,--,--,87,790,468,176,448,588,68,89,54,68,185,60
Mill Creek (Marion Co),11,0,0,3,4,0,0,0,0,0,0,0,0,0,0,10,3
Minam River,X,X,X,X,X,X,X,X,X,3,0,0,0,0,0,0,0
Mollala River,14,0,3,9,0,0,3,68,746,821,1488,742,1280,472,410,613,958
Salmon River (Sandy R),1154,1569,2201,2246,2479,1516,6368,2962,1509,2422,3021,1012,2286,911,1923,787,608
Sandy River Above Marmot Dam (a),--,--,--,--,--,--,--,--,--,--,1613,841,1228,928,1558,574,760
Sandy River Below Marmot Dam (a),900,821,2699,1981,2579,1073,3920,2304,1704,2313,1944,968,1487,1053,616,693,488
Santiam River,1024,751,836,582,632,201,540,941,759,805,960,230,855,341,582,604,258
N. Fk. Santiam River,3198,1985,3144,2700,2087,853,4320,5033,5399,3956,4365,1111,2771,840,2567,3727,2412
Little North Fork (Santiam R),104,115,138,92,131,30,257,557,353,237,269,127,270,136,166,113,136
S. Fk. Santiam River,4742,1293,1031,1531,1648,514,4147,4660,4973,2982,6478,468,4525,850,3074,2715,1741
Snake River,11,18,89,62,1150,565,449,845,1072,734,1041,1539,453,1714,2444,1166,596
Tanner Creek,43,29,46,10,2,7,10,12,4,82,0,0,0,6,7,9,4
Umatilla River,280,878,630,495,175,196,133,76,219,400,206,418,109,629,192,86,144
Walla Walla River,35,224,80,164,126,126,283,289,300,337,169,278,61,266,40,10,0
Wallowa River,X,X,X,X,X,X,X,X,1160,394,1094,2138,19,4030,2631,880,0
Wallowa R. Mouth to Minam St. Park (b),,,,,,,,--,--,--,--,--,--,--,--,--,477
Wallowa R. Above Minam St. Park (b),,,,,,,,--,--,--,--,--,--,--,--,--,787
Wenaha River,X,X,X,X,X,X,X,X,X,4,4,0,6,0,4,3,3
"Willamette River, Lower",306,195,395,74,532,175,778,739,932,395,886,364,647,393,282,460,656
"Willamette River, Upper",38,71,72,121,47,17,216,242,299,168,331,71,260,151,411,443,271
"Willamette River, Mid. Fk.",0,12,0,15,0,13,252,359,534,148,310,110,224,240,374,980,373
Unclassified (c),80,126,104,39,124,90,98,81,0,0,0,12,72,92,107,94,17
