96,THREE R,143,90,38,17,0,13,31,46,167,255,127,183
97,TILLAMOOK BAY,4115,4605,3257,2193,1749,1720,3552,3166,3550,4992,4970,5386
98,TILLAMOOK R,169,238,90,169,283,77,290,478,301,408,384,744
99,TRASK R,2513,1655,2306,867,957,565,1600,2417,1703,2019,1614,2102
100,N FK TRASK,3,3,0,0,0,3,0,14,18,9,4,4
101,S FK TRASK,15,26,0,0,0,3,9,18,21,43,18,19
102,UMPQUA R & BAY,2614,2772,937,1515,1081,1555,2724,2983,4940,5611,3626,1756
103,DAM,9,9.1,5,11,9.2,20,15,10,89,34,29,12
104,S FK UMPQUA,8,0,0,6,12,0,6,41,12,28,15,14
105,WILSON R,2790,2325,1898,1186,496,404,1048,1480,1673,2730,2640,1570
106,S FK. WILSON R.,0,0,0,0,0,0,0,0,0,0,0,0
107,LITTLE N FK (WILSON),6,3,0,0,0,3,0,15,15,19,4,4
108,WINCHUCK R,63,84,133,208,153,90,48,185,107,51,54,82
109,WOAHINK LK,0,0,0,0,0,0,0,0,0,0,0,0
110,YACHATS R,72,87,107,75,106,114,87,103,174,228,203,237
111,YAQUINA R & BAY,1452,2523,1252,1006,807,1397,2245,2269,2856,4429,3144,2096
201,ROCK CR,10,6,4,34,6,8,31,14,9,22,31,41
204,NEHALEM R ABOVE HWY 26/ELSIE,42,76,30,9,36,27,44,99,55,33,90,65
206,CALAPOOYA CR (UMPQUA R),9,0,19,0,6,3,0,3,21,3,0,7
219,SODA SPR (FLY AREA,0,0,0,0,0,0,0,0,0,0,0,0
224,NESKOWIN CR,23,5,5,0,3,0,44,15,3,6,15,18
225,ROGUE BAY UP TO ELEPHANT ROCK,6358,3420,1947,2177,1688,4926,3767,3745,8339,3321,1704,3348
226,GRAVE CR,1390,939,456,484,743,1734,1683,2089,3361,1747,869,635
227,RAY DAM,2335,1970,1085,801,882,1480,2893,4099,5619,3502,1362,910
228,ROGUE R ABOVE GOLD RAY DAM,100,33,0,0,0,36,60,96,164,103,52,45
240,ISTHMUS SLOUGH,0,0,11,180,323,530,465,904,810,1098,630,481
112,ABERNATHY CR (CLACK R),0,0,0,0,0,0,0,0,0,0,0,0
113,ABIQUA CR (PUDDING R),0,0,0,0,0,0,0,0,0,0,0,0
114,BEAR CR (CLATSOP CO),3,0,11,6,12,16,0,3,3,0,8,0
115,BEAVER CR (COL CO),3,8,3,0,0,13,0,9,18,13,0,4
116,BIG CR (CLATSOP CO),828,792,528,341,250,212,712,830,277,451,234,149
117,BULLRUN R,16,16,11,9,0,6,21,35,6,3,4,8
118,BUTTE CR (PUDDING R),0,0,0,0,0,0,0,0,0,0,0,0
119,CALAPOOIA R,0,0,0,0,0,0,0,0,0,0,0,0
