"Total 13,088","Total 13,088","16,390","11,915","11,155","11,649","4,868","4,089",,"9,009","17,303 20,165",,"28,857","23,741","15,503","11,065","8,027","16,362","9,217",,,,,,,,,,,,,,,,,,
a  The main stem was listed under one stream code prior to 1992,a  The main stem was listed under one stream code prior to 1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b  Includes incidental catch on minor assignable streams,b  Includes incidental catch on minor assignable streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sport catch of Spring Chinook Salmon in Oregon tributaries of the Columbia River system, 1978-94.","Sport catch of Spring Chinook Salmon in Oregon tributaries of the Columbia River system, 1978-94.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Stream 1978,Stream 1978,1979,1980,1981,1982,1983,1984,,1985,1986 1987,,1988,1989,1990,1991,1992,1993,1994,,,,,,,,,,,,,,,,,,
Bullrun River,,,,,,,,,,,,,,,,,,,Bullrun River,12,15,9,15,3,44,38,8,0,0,12,4,16,9,3,12,3
"Clackamas River, Lower",,,,,,,,,,,,,,,,,,,"Clackamas River, Lower","1,122","1,385","3,778","3,140","3,338","4,377","4,472","2,237","2,828","3,507","2,595","2,620","7,171","5,601","4,043","4,793","2,394"
"Clackamas River, Upper",,,,,,,,,,,,,,,,,,,"Clackamas River, Upper",--,--,--,--,--,--,161,55,78,121,46,78,111,76,131,16,0
Clatskanie River,,,,,,,,,,,,,,,,,,,Clatskanie River,--,--,--,--,--,--,--,--,--,--,--,--,55,36,0,12,0
"Columbia River, Lower",,,,,,,,,,,,,,,,,,,"Columbia River, Lower","3,668",902,"1,176","3,274","2,547","1,142",942,765,"2,874","2,862","4,155","2,313","8,851","4,335","3,912","1,438","1,458"
"Columbia River, Upper",,,,,,,,,,,,,,,,,,,"Columbia River, Upper",X,X,X,X,X,X,X,X,X,X,16,8,0,0,0,0,6
Crabtree Creek (Santiam R),,,,,,,,,,,,,,,,,,,Crabtree Creek (Santiam R),6,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0
"Deschutes River, Lower",,,,,,,,,,,,,,,,,,,"Deschutes River, Lower",990,368,464,X,826,629,11,"1,514",567,"1,131","2,334","2,844","2,138","1,984","2,640",869,0
