UMPQUA R & BAY,1131,1029,2223,3699,4171,3550,2902,3028,1471,1353,1172,481
N FK UMPQUA BELOW WINCHESTER DAM,93,205,293,451,570,385,215,455,273,274,325,40
S FK UMPQUA,66,39,4,39,28,29,18,5,12,-,9,-
WILSON R,62,79,82,99,105,263,71,160,189,84,44,20
S FK. WILSON R.,-,-,-,-,7,-,-,5,18,6,-,-
LITTLE N FK (WILSON),-,4,-,-,3,-,18,-,6,-,6,-
WINCHUCK R,-,-,-,-,-,-,-,-,-,-,-,-
YACHATS R,-,-,-,-,-,-,-,-,-,-,-,-
YAQUINA R & BAY,4,20,-,-,17,42,22,25,-,-,6,10
TIOGA CR,-,-,-,-,10,-,-,-,-,-,-,-
N FK UMPQUA-WINCHESTER DAM TO ROCK,578,1213,1064,1173,1714,1280,888,581,733,586,123,
,,,,,,,,,,,,
NEHALEM R ABOVE HWY 26/ELSIE,-,6,-,7,-,8,9,15,-,-,6,-
CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,6,-,-
N FK UMPQUA FROM ROCK CR TO SODA,-,15,22,28,20,54,8,129,56,150,181,
,,,,,,,,,,,,
NESKOWIN CR,4,-,-,7,5,33,13,33,12,26,13,5
ROGUE BAY UP TO ELEPHANT ROCK,303,275,418,835,486,364,240,277,1097,478,978,1005
ROGUE R FROM ELEPHANT ROCK TO,608,1165,2311,1839,2613,1137,589,2203,834,1190,1103,
,,,,,,,,,,,,
ROGUE R FROM GRAVE CR TO GOLD RAY,182,277,598,463,809,712,492,677,135,187,119,
,,,,,,,,,,,,
ROGUE R ABOVE GOLD RAY DAM,1242,1084,1722,2336,2009,3082,2579,2015,3121,985,989,1517
ABERNATHY CR (CLACK R),12,12,4,-,-,-,-,-,-,-,-,-
ABIQUA CR (PUDDING R),-,4,12,-,-,-,-,-,12,6,-,-
BEAR CR (CLATSOP CO),4,-,8,4,3,-,-,-,-,-,-,-
BEAVER CR (COL CO),4,-,-,-,7,13,9,-,41,-,-,-
BIG CR (CLATSOP CO),170,35,19,357,171,75,84,110,136,156,202,215
BULLRUN R,4,-,-,-,7,-,-,-,-,6,-,-
BUTTE CR (PUDDING R),-,4,-,-,-,-,-,-,-,-,-,-
CALAPOOIA R,-,-,-,-,-,-,-,-,6,-,-,-
CATHERINE CR,-,-,-,-,-,-,-,-,36,-,-,-
CLACKAMAS R BELOW CARVER BRIDGE,1020,1013,768,1574,586,613,289,366,870,331,177,82
CLATSKANIE R,-,12,-,32,7,4,4,-,65,39,-,-
CLEAR CR (CLACK R),-,-,-,18,-,-,-,-,-,-,-,-
COLLOWASH RIVER,-,-,-,-,-,-,-,-,36,-,6,-
HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,-,-,-,-,-
CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
DESCHUTES R BELOW SHERARS FALLS,922,1035,-,1135,1714,604,4,1172,-,1397,5,335
EAGLE CR (CLACK R),-,8,19,389,56,4,93,105,53,175,63,-
EAGLE CR (COLUMBIA R),-,-,-,-,-,-,-,-,-,-,-,-
FALL CR (WILLAMETTE R),-,-,-,7,-,4,4,5,-,-,25,-
FIFTEEN MILE CR,-,-,8,35,24,17,22,20,47,-,13,10
GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
GNAT CR,340,149,196,994,59,338,129,65,1362,636,682,174
HERMAN CR (COL R),-,-,-,-,-,-,-,-,-,-,-,-
LOST CR (WILL R MID FK),-,-,-,-,-,-,-,-,6,6,-,-
E FK HOOD,-,-,-,-,-,-,-,-,6,-,-,-
W FK HOOD,-,-,-,-,-,-,-,-,6,-,-,-
IMNAHA R,4,328,910,1393,798,375,27,80,118,266,6,-
JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
KLASKANINE R,58,4,4,177,17,21,13,20,148,71,32,31
