,Unnamed: 0,"Sport catch of winter steelhead in Oregon streams and rivers, 1995-2007",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,70.0,LITTLE NESTUCCA,82.0,27.0,24.0,15.0,28.0,17.0,12.0,23.0,6.0,25.0,37.0,14.0
71,,,,,,,,,,,,,,,71.0,PISTOL R,120.0,164.0,55.0,6.0,18.0,16.0,21.0,27.0,46.0,74.0,48.0,24.0
72,,,,,,,,,,,,,,,72.0,ROCK CR (LANE CO),0.0,9.0,0.0,0.0,10.0,7.0,9.0,0.0,9.0,4.0,0.0,0.0
73,,,,,,,,,,,,,,,73.0,ROCK CR (NEHALEM),2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,,,,,,,,,,,,,,,74.0,ROCK CR (SILETZ R),0.0,8.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
77,,,,,,,,,,,,,,,77.0,SALMON R (COAST),425.0,165.0,49.0,27.0,82.0,70.0,88.0,82.0,75.0,89.0,134.0,58.0
78,,,,,,,,,,,,,,,78.0,SALMONBERRY R,5.0,64.0,27.0,12.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
79,,,,,,,,,,,,,,,79.0,SAND LAKE,0.0,3.0,0.0,3.0,0.0,0.0,6.0,21.0,3.0,0.0,4.0,0.0
80,,,,,,,,,,,,,,,80.0,SCHOONER CR (SILETZ R),5.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,3.0,0.0,4.0,4.0
81,,,,,,,,,,,,,,,81.0,SILETZ R & BAY,1177.0,893.0,1291.0,1805.0,1585.0,1629.0,2745.0,1124.0,2628.0,1805.0,2452.0,1870.0
82,,,,,,,,,,,,,,,82.0,N FK SILETZ,16.0,60.0,51.0,41.0,21.0,6.0,49.0,10.0,12.0,0.0,4.0,0.0
83,,,,,,,,,,,,,,,83.0,S FK SILETZ,39.0,7.0,56.0,30.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0
84,,,,,,,,,,,,,,,84.0,SILTCOOS R & LK,0.0,5.0,3.0,9.0,11.0,13.0,6.0,3.0,13.0,10.0,19.0,55.0
85,,,,,,,,,,,,,,,85.0,SIUSLAW R & BAY,885.0,1068.0,298.0,278.0,484.0,1088.0,849.0,585.0,753.0,566.0,1311.0,1104.0
86,,,,,,,,,,,,,,,86.0,N FK SIUSLAW,94.0,43.0,0.0,15.0,18.0,18.0,21.0,6.0,36.0,10.0,72.0,32.0
87,,,,,,,,,,,,,,,87.0,SIXES R,157.0,140.0,135.0,24.0,22.0,28.0,12.0,98.0,178.0,89.0,98.0,136.0
89,,,,,,,,,,,,,,,89.0,SMITH R,855.0,903.0,128.0,64.0,21.0,6.0,12.0,6.0,19.0,10.0,26.0,28.0
90,,,,,,,,,,,,,,,90.0,N FK SMITH,14.0,170.0,51.0,3.0,14.0,4.0,9.0,3.0,0.0,0.0,8.0,11.0
91,,,,,,,,,,,,,,,91.0,SUTTON CR & LK,3.0,2.0,0.0,3.0,4.0,11.0,3.0,0.0,10.0,7.0,0.0,0.0
